geoid,geoName,year,sector,establishments,employment,wages,gdp
13000,Georgia,2016,Information,182,2240,92823975,437365925.3
13000,Georgia,2018,Manufacturing,442,23523,2015280352,5312505553
13000,Georgia,2020,Manufacturing,447,22193,1826869724,4570561187
13000,Georgia,2017,Financial Activities,1412,8360,453828673,2769582124
13000,Georgia,2017,Leisure and Hospitality,1872,39893,764820744,1472728978
13000,Georgia,2019,Leisure and Hospitality,1955,40674,839451737,1691921449
13000,Georgia,2019,Natural Resources and Mining,102,587,26299747,106491868.2
13000,Georgia,2016,Professional and Business Services,2411,23861,990462003,1704687104
13000,Georgia,2018,Professional and Business Services,2232,25543,1092756073,1888078171
13000,Georgia,2019,Professional and Business Services,2275,26736,1199365474,1992006241
13000,Georgia,2016,Trade Transportation and Utilities,3651,54035,1989683040,5074251673
13000,Georgia,2019,All Industries Total,14521,254710,11754372123,30816028592
13000,Georgia,2016,Education and Health Services,1734,45718,2180189406,2202830068
13000,Georgia,2018,Leisure and Hospitality,1901,40435,805817898,1642440201
72000,Puerto Rico,2017,Manufacturing,1279,43869,1668657969,0
72000,Puerto Rico,2017,Natural Resources and Mining,803,6676,75935988,0
72000,Puerto Rico,2017,Construction,1259,15039,386511328,0
72000,Puerto Rico,2019,Construction,1549,19789,506649354,0
72000,Puerto Rico,2016,Education and Health Services,6448,107324,3121338646,0
72000,Puerto Rico,2016,Leisure and Hospitality,3751,67953,1009835763,0
72000,Puerto Rico,2018,Leisure and Hospitality,3684,62900,945364149,0
72000,Puerto Rico,2018,Other Services,2759,11615,252357553,0
72000,Puerto Rico,2020,Other Services,2760,10576,240516913,0
72000,Puerto Rico,2017,Public Administration,940,72448,2583970839,0
72000,Puerto Rico,2017,Trade Transportation and Utilities,9033,141317,3657735296,0
23000,Maine,2016,Construction,3367,16683,783221168,1280016111
23000,Maine,2017,Construction,3410,17383,848504008,1361472097
23000,Maine,2018,Construction,3384,17890,896251602,1454586708
